Lat,Long,ISP,Hosting,IP
47.3878,8.52029,Datasource AG,true,176.10.99.200
53.4657,-2.24885,OVH SAS,true,54.37.16.241
52.0714,5.1069,Your Internet Service Provider,true,46.182.106.190
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.40
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.32
52.3812,4.6361,Online SAS NL,true,51.15.43.205
50.3986,8.07958,OVH SAS,true,51.75.64.23
42.6833,23.3167,Belcloud LTD,true,185.205.210.245
45.4642,9.18998,Tiscali Italia SpA,false,94.32.66.48
64.1265,-21.8174,Advania Island ehf,true,82.221.128.191
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.43
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.35
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.254
45.5017,-73.5673,FranTech Solutions,true,198.251.80.214
50.383,8.0611,OVH SAS,true,51.89.23.74
52.3818,4.89025,SURFnet bv,false,192.42.116.19
47.3878,8.52029,Datasource AG,true,176.10.99.200
33.6173,-111.905,"GoDaddy.com, LLC",true,97.74.237.196
40.7433,-74.0079,The Calyx Institute,false,185.220.103.9
19.0748,72.8856,"Linode, LLC",true,172.105.35.249
45.3161,-73.8736,OVH Hosting,true,144.217.60.239
47.3667,8.55,SWITCH,false,195.176.3.23
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.117
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.243
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.245
32.7787,-96.8217,"Linode, LLC",true,198.58.107.53
52.7169,-2.86881,OVH ISP,true,91.121.251.65
32.8771,-80.013,Google LLC,true,104.196.43.128
38.8339,-104.821,Quintex Alliance Consulting,false,199.249.230.83
55.615,12.584,Zencurity ApS,false,185.129.62.62
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.75
52.3667,4.89454,Markus Koch,false,185.220.101.11
49.7866,6.0753,FranTech Solutions,true,104.244.76.13
45.3161,-73.8736,OVH Hosting,true,144.217.108.11
52.3667,4.89454,Markus Koch,false,185.220.101.13
30.4191,-97.0117,OVH Hosting,true,66.70.228.168
52.3667,4.89454,Markus Koch,false,185.220.101.130
38.8339,-104.821,Emerald Onion,true,23.129.64.191
47.6036,-122.336,Emerald Onion,true,23.129.64.207
37.3528,-121.9543,"prgmr.com, Inc.",false,71.19.144.106
61.7222,17.1282,Internetport AB -BL,false,95.143.193.125
52.3667,4.89454,XS4ALL Internet BV,false,80.127.116.96
51.5164,-0.093,OVH SAS,true,51.38.64.136
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.241
13.7124,100.483,ServeNet Solution Limited Partnership,false,124.109.1.207
45.5029,-73.5723,OVH SAS,true,149.56.99.85
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.34
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.26
