Lat,Long,ISP,Hosting,IP
51.5689,0.008,Virgin Media Limited,false,80.195.122.166
38.8339,-104.821,The Calyx Institute,false,162.247.74.201
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.170.116
49.405,11.1617,Contabo GmbH,true,95.111.230.178
46.7712,23.6236,RCS & RDS,false,79.119.96.188
54.8985,23.9036,UAB Cherry Servers,true,188.214.132.49
49.2597,-123.143,UnmeteredInternet.com,true,104.218.63.73
48.792,2.39851,Online S.A.S.,true,62.210.177.189
49.7866,6.0753,FranTech Solutions,true,104.244.79.75
36.066,-115.138,FranTech Solutions,true,198.251.87.226
50.475,12.365,Hetzner Online GmbH,true,148.251.75.247
59.4032,17.9448,Bahnhof AB,false,158.174.145.139
48.9109,2.54615,Online S.A.S.,true,62.210.89.9
62.2449,25.7405,TNNet Oy,false,89.236.112.100
49.4521,11.0767,Hetzner Online GmbH,true,116.203.50.182
45.4643,9.1895,CLOUD,true,193.234.225.67
45.5235,-122.676,"Amazon.com, Inc.",true,34.209.214.211
47.5596,7.58858,Datasource AG,true,176.10.104.240
50.475,12.365,Hetzner Online GmbH,true,116.202.105.56
52.3702,4.89517,Nice IT Services Group Inc.,false,45.9.148.31
50.475,12.365,Hetzner Online GmbH,true,138.201.122.55
34.4267,-118.425,Multacom Corporation,true,216.127.173.78
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.170.135
52.3704,4.89536,IP Volume inc,false,93.174.93.133
45.5029,-73.5723,OVH SAS,true,142.44.243.133
40.7368,-74.1734,OVH Hosting,true,149.56.233.142
48.792,2.39851,Online S.A.S.,true,51.15.225.216
52.3667,4.89454,Markus Koch,false,185.220.101.209
52.5239,13.3214,Strato AG,true,85.214.141.131
59.9311,30.3609,"OOO ""Network of data-centers ""Selectel""",true,31.184.218.180
48.7374,9.3166,Hetzner Online AG,true,213.239.215.221
40.5037,-80.0683,"MCI Communications Services, Inc. d/b/a Verizon Business",false,173.75.39.61
44.418,26.1691,FlokiNET ehf,true,185.100.85.61
52.3667,4.89454,Feral Hosting,true,185.21.217.32
53.9,27.5667,Republican Unitary Telecommunication Enterprise Beltelecom,false,194.158.216.103
52.52,13.405,Zwiebelfreunde e.V.,false,185.220.102.244
50.6917,3.20014,OVH ISP,true,188.165.212.152
50.4333,30.5167,DELTAHOST,true,176.107.187.151
49.0291,8.35695,netcup GmbH,true,2.56.99.215
39.9668,-75.1512,ReliableSite.Net LLC,true,209.222.101.251
48.8714,2.32131,Online S.A.S.,true,62.210.217.207
40.7263,-73.9818,Charter Communications,false,66.108.189.15
43.7308,7.42259,Monaco Telecom S.A.,false,88.209.93.121
47.1585,27.6014,MivoCloud SRL,true,185.225.17.3
46.0929,21.6925,Netaction Telecom Srl-d,false,89.34.27.49
56.9496,24.0978,ITLDC Latvia network,true,195.123.209.91
59.5344,18.0776,Bahnhof Internet,false,213.80.102.27
59.3293,18.0686,KEFF-STO,false,45.154.255.74
38.7167,-9.1333,HostRoyale Technologies Pvt Ltd,false,5.154.174.241
64.1265,-21.8174,Advania Island ehf,true,82.221.131.71
50.475,12.365,Hetzner Online GmbH,true,148.251.237.219
42.4603,-84.4207,"Comcast Cable Communications, LLC",false,96.66.15.147
50.8919,11.8682,ISPpro Internet KG,true,81.7.10.193
49.0536,14.4312,WEDOS Internet,true,31.31.76.123
48.5734,7.75211,OVH SAS,true,54.38.187.54
47.1619,8.43988,Xelon,true,185.32.221.201
60.1719,24.9347,Hetzner Online GmbH,true,95.216.15.16
51.4717,-0.1161,Zen Internet Ltd,false,217.155.40.118
42.6531,24.7577,Tamatiya EOOD,true,87.121.98.34
50.9871,2.12554,OVH SAS,true,5.196.71.24
45.4995,-73.5848,OVH SAS,true,158.69.204.36
37.2414,-121.783,Hurricane Electric LLC,true,216.218.134.12
46.0929,21.6925,Netaction Telecom Srl-d,false,89.34.27.59
60.1719,24.9347,Hetzner Online GmbH,true,95.217.62.4
52.3818,4.89025,SURFnet bv,false,192.42.116.17
55.7522,37.6156,CORBINA,false,78.107.239.213
48.8714,2.32131,Online S.A.S.,true,163.172.169.253
48.8607,2.3281,SCALEWAY,true,51.158.187.110
